id,logic_01,logic_02,logic_03,causality_01,causality_02,causality_03,analogy_01,analogy_02,analogy_03,definition_01,definition_02,definition_03
logic_01,0.9999998487957367,0.9625246143010294,0.9278663342010289,0.9331119420657704,0.9247591621752498,0.9228469683423178,0.8814305775786777,0.9130521533754007,0.8782192832320578,0.909615127769323,0.9084627061298213,0.838955400579684
logic_02,0.9625246143010294,1.000000001700977,0.9190183513862143,0.9363658317188729,0.9388736444792192,0.9245129406526987,0.8821359814347948,0.9238871949429642,0.8858225561478577,0.9298572257969321,0.9228348846935611,0.8599121911030799
logic_03,0.9278663342010289,0.9190183513862143,0.9999999329272798,0.8683832481780056,0.8670331714055886,0.864577793826504,0.8666028318722556,0.8916281613105718,0.8675536036039989,0.8487157197016001,0.8774257042448526,0.8297083186854795
causality_01,0.9331119420657704,0.9363658317188729,0.8683832481780056,0.9999999718163342,0.9532185550711665,0.9722533682710147,0.8347236552354209,0.8793989457535742,0.8329726984306322,0.9340530780712494,0.9162977862578741,0.8408855543481312
causality_02,0.9247591621752498,0.9388736444792192,0.8670331714055886,0.9532185550711665,0.9999999840915949,0.9507620360822593,0.8512854509249455,0.897325581056311,0.8542138274875793,0.9152023526437365,0.9152242522437047,0.8496207170713086
causality_03,0.9228469683423178,0.9245129406526987,0.864577793826504,0.9722533682710147,0.9507620360822593,1.0000000300492993,0.8193042127987379,0.8610303982764856,0.8173544042520003,0.9201610979880706,0.9083650913395342,0.8658969003098045
analogy_01,0.8814305775786777,0.8821359814347948,0.8666028318722556,0.8347236552354209,0.8512854509249455,0.8193042127987379,1.0000001124242617,0.9678706778370728,0.9764954030123671,0.8200414866203923,0.8816095503837786,0.8177578788892842
analogy_02,0.9130521533754007,0.9238871949429642,0.8916281613105718,0.8793989457535742,0.897325581056311,0.8610303982764856,0.9678706778370728,0.9999999894028577,0.9687854607615431,0.8736077658444783,0.9083977250078151,0.8379461299405875
analogy_03,0.8782192832320578,0.8858225561478577,0.8675536036039989,0.8329726984306322,0.8542138274875793,0.8173544042520003,0.9764954030123671,0.9687854607615431,1.0000000540575504,0.8233195796342871,0.8866503583048313,0.8181575320492227
definition_01,0.909615127769323,0.9298572257969321,0.8487157197016001,0.9340530780712494,0.9152023526437365,0.9201610979880706,0.8200414866203923,0.8736077658444783,0.8233195796342871,0.9999999685185419,0.913538824836498,0.8648358833310026
definition_02,0.9084627061298213,0.9228348846935611,0.8774257042448526,0.9162977862578741,0.9152242522437047,0.9083650913395342,0.8816095503837786,0.9083977250078151,0.8866503583048313,0.913538824836498,0.9999999800279888,0.8876232005876068
definition_03,0.838955400579684,0.8599121911030799,0.8297083186854795,0.8408855543481312,0.8496207170713086,0.8658969003098045,0.8177578788892842,0.8379461299405875,0.8181575320492227,0.8648358833310026,0.8876232005876068,1.0000000434761143
