layer,group,within_similarity
0,logic,0.6947177963741079
0,causality,0.6947177963741079
0,analogy,0.7286380605354642
0,definition,0.7286380605354642
4,logic,0.8401778508595631
4,causality,0.8810331794980889
4,analogy,0.8664359225462717
4,definition,0.8551948671762599
8,logic,0.7878840856648068
8,causality,0.8629525609784803
8,analogy,0.8290871015881075
8,definition,0.8205193979175301
12,logic,0.7925824901553558
12,causality,0.817083122809159
12,analogy,0.8386274527708678
12,definition,0.7873770708200821
16,logic,0.7876293537379965
16,causality,0.8049562249512667
16,analogy,0.836482612492303
16,definition,0.7846487890482372
20,logic,0.7793770933536371
20,causality,0.8129000670018087
20,analogy,0.8502833787022493
20,definition,0.7813237142430184
24,logic,0.871962674522024
24,causality,0.8965859434006849
24,analogy,0.9028931758633016
24,definition,0.8738439194038585
28,logic,0.9186028015487635
28,causality,0.9224033622348775
28,analogy,0.910593854750496
28,definition,0.9017500828485197
