source_group,target_group,beta,prompt_id,original_group,nearest_group,nearest_score,similarity_to_source,similarity_to_target,perturbation_norm,relative_perturbation_norm
logic,causality,0.0,logic_orig_01,logic,logic,0.9265176766976483,0.9265176766976483,0.8154247650517458,0.0,0.0
logic,causality,0.0,logic_orig_02,logic,logic,0.9078820765204219,0.9078820765204219,0.7981623680359436,0.0,0.0
logic,causality,0.0,logic_orig_03,logic,logic,0.9033537942579226,0.9033537942579226,0.7825619071830505,0.0,0.0
logic,causality,0.0,logic_para_01,logic,logic,0.905684727677752,0.905684727677752,0.7787266271949025,0.0,0.0
logic,causality,0.0,logic_para_02,logic,logic,0.8769343968070875,0.8769343968070875,0.7402910579389629,0.0,0.0
logic,causality,0.0,logic_para_03,logic,logic,0.922642853634581,0.922642853634581,0.7988378157053577,0.0,0.0
logic,causality,0.25,logic_orig_01,logic,logic,0.9145955856229913,0.9145955856229913,0.8681443719162079,26.25733974749031,0.12670167
logic,causality,0.25,logic_orig_02,logic,logic,0.8957483958568611,0.8957483958568611,0.8518155184474203,26.25733974749031,0.12895294
logic,causality,0.25,logic_orig_03,logic,logic,0.8937524754735382,0.8937524754735382,0.839040754099202,26.25733974749031,0.12979417
logic,causality,0.25,logic_para_01,logic,logic,0.8973307097636523,0.8973307097636523,0.8369297770633428,26.25733974749031,0.13091466
logic,causality,0.25,logic_para_02,logic,logic,0.8725732474986276,0.8725732474986276,0.7956264673101707,26.25733974749031,0.11804329
logic,causality,0.25,logic_para_03,logic,logic,0.9144643717740918,0.9144643717740918,0.8521675702426208,26.25733974749031,0.120924674
logic,causality,0.5,logic_orig_01,logic,causality,0.9063319037680777,0.8886913386594257,0.9063319037680777,52.51467949498062,0.25340334
logic,causality,0.5,logic_orig_02,logic,causality,0.8906758761312336,0.8694557081990031,0.8906758761312336,52.51467949498062,0.25790587
logic,causality,0.5,logic_orig_03,logic,causality,0.8808427444142137,0.8695688836601841,0.8808427444142137,52.51467949498062,0.25958833
logic,causality,0.5,logic_para_01,logic,causality,0.8803027790763063,0.8739613302766696,0.8803027790763063,52.51467949498062,0.26182932
logic,causality,0.5,logic_para_02,logic,logic,0.8560715637760226,0.8560715637760226,0.839737119179108,52.51467949498062,0.23608658
logic,causality,0.5,logic_para_03,logic,logic,0.8932193028400606,0.8932193028400606,0.892622942095188,52.51467949498062,0.24184935
logic,causality,0.75,logic_orig_01,logic,causality,0.9297224213267254,0.8513444222879907,0.9297224213267254,78.77201924247092,0.38010502
logic,causality,0.75,logic_orig_02,logic,causality,0.9144649045067457,0.831663132669541,0.9144649045067457,78.77201924247092,0.3868588
logic,causality,0.75,logic_orig_03,logic,causality,0.907303244579042,0.8332397791380097,0.907303244579042,78.77201924247092,0.3893825
logic,causality,0.75,logic_para_01,logic,causality,0.9079866978322533,0.8379473712208237,0.9079866978322533,78.77201924247092,0.39274397
logic,causality,0.75,logic_para_02,logic,causality,0.8713806273752229,0.8286724336401151,0.8713806273752229,78.77201924247092,0.35412988
logic,causality,0.75,logic_para_03,logic,causality,0.9194756898470877,0.8607486165530696,0.9194756898470877,78.77201924247092,0.362774
logic,causality,1.0,logic_orig_01,logic,causality,0.9398434565671373,0.8061058895013316,0.9398434565671373,105.02935898996124,0.5068067
logic,causality,1.0,logic_orig_02,logic,causality,0.9247843686800037,0.7860603286672297,0.9247843686800037,105.02935898996124,0.51581174
logic,causality,1.0,logic_orig_03,logic,causality,0.9197842370365454,0.7884247797425974,0.9197842370365454,105.02935898996124,0.51917666
logic,causality,1.0,logic_para_01,logic,causality,0.9212672769445778,0.7930087668902153,0.9212672769445778,105.02935898996124,0.52365863
